id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
1,Bitcoin,BTC,bitcoin,9216,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,18976437.0,18976437.0,,1,,,2022-03-07T07:04:00.000Z,38153.34844463166,22743760255.44696,35.7792,0.28017009,-3.39244421,0.52069091,-8.0159055,-11.51472713,-25.49260138,724014613098.6006,42.2355,801220317337.26,2022-03-07T07:04:00.000Z,,,,,
1027,Ethereum,ETH,ethereum,5545,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,119857784.124,119857784.124,,2,,,2022-03-07T07:04:00.000Z,2537.2984450546487,10533667457.994736,39.2656,0.21236869,-4.20936418,-2.6466379,-15.66525148,-26.45188711,-42.00783678,304114969285.52094,17.7415,304114969285.52,2022-03-07T07:04:00.000Z,,,,,
825,Tether,USDT,tether,29154,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",,80023056459.09529,82164697048.77821,,3,,,2022-03-07T07:04:00.000Z,1.000153970816552,49661910037.53538,30.0419,-0.01072674,-0.00724502,-0.03154083,-0.03682889,0.01247442,-0.11827953,80035377674.4413,4.6691,82177348014.27,2022-03-07T07:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7
1839,BNB,BNB,bnb,734,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,165116760.89,165116760.89,,4,,,2022-03-07T07:04:00.000Z,373.0585456156363,1447943299.756803,17.8106,0.28305064,-2.86674778,2.92674206,-11.57131324,-20.47176645,-36.83386082,61598218674.388176,3.5933,61598218342.37,2022-03-07T07:04:00.000Z,,,,,
3408,USD Coin,USDC,usd-coin,3187,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain']",,52768669454.0416,52768669454.0416,,5,,,2022-03-07T07:04:00.000Z,0.9996714749220279,3611956424.6612997,49.3324,-0.03621989,0.00806126,0.03843745,-0.00571223,-0.07893439,-0.00761068,52751333622.79473,3.0773,52751333622.79,2022-03-07T07:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
52,XRP,XRP,xrp,686,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,47949281138.0,99989739391.0,,6,,,2022-03-07T07:04:00.000Z,0.7464915418549501,2312117785.1735973,-0.1763,2.46488552,-0.00764255,3.49982422,11.25443443,-1.77522339,-11.14514859,35793732807.5421,2.0881,74649154185.5,2022-03-07T07:04:00.000Z,,,,,
4172,Terra,LUNA,terra-luna,164,2019-07-26T00:00:00.000Z,"['cosmos-ecosystem', 'store-of-value', 'defi', 'payments', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'pantera-capital-portfolio', 'terra-ecosystem']",,367477330.9827963,780523150.623233,,7,,,2022-03-07T07:04:00.000Z,79.86296198736213,2972123101.7370515,14.4558,0.58357071,-5.94551753,10.48215904,39.17025757,4.09353635,16.24476522,29347828115.496353,1.7121,62334890708.48,2022-03-07T07:04:00.000Z,,,,,
2010,Cardano,ADA,cardano,371,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33674452010.783,34182105422.486,,8,,,2022-03-07T07:04:00.000Z,0.8180137697586302,779314836.789831,16.9468,0.20785265,-4.41552116,-5.84825773,-29.42676656,-32.77408958,-43.77873265,27546165433.896687,1.607,36810619639.14,2022-03-07T07:04:00.000Z,,,,,
5426,Solana,SOL,solana,266,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,317913826.4907185,511616946.142289,,9,,,2022-03-07T07:04:00.000Z,83.1305460154295,1754045619.0055046,45.1268,0.33769107,-6.0970403,-4.13605543,-28.77006818,-44.31528275,-58.58331699,26428349982.027943,1.5418,42530996083.56,2022-03-07T07:04:00.000Z,,,,,
5805,Avalanche,AVAX,avalanche,203,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",,265652564.2424354,395891289.9134107,,10,,,2022-03-07T07:04:00.000Z,72.37491068343363,976940509.2629638,12.7166,0.61089401,-4.6435338,-1.61099421,-8.50735518,-23.18844245,-24.45801779,19226580609.871376,1.1216,28652596747.83,2022-03-07T07:04:00.000Z,,,,,
